Billing Date,Brand,Article,Site,Site Area,MRP,Promotion Name,Region,POS Billing Quantity,POS Cost,POS Gross Sales,POS Total Discount,POS Tax Amount,POS Net Sales WOT,POS RGM,Vendor,Fiber,Fabric,Brand Tag,Wash Care Instructions,C Technique,Broad Craft,Handloom Mark,Silk Mark,Type,Style Code,Craft Code,Site Name,Bin
2023-02-20,Aiba,3370345386,ST07,C,5590,P19,R3,1,2570.880552904323,5590,363.22058009788964,261.3389709951055,4965.440448907005,2394.559896002682,V2,Modal,Satin,Aiba Satin Saree,Handwash Separately,C3,B1,yes,no,Printed,3370345,C3,ST07C,5000-5999
2023-03-03,Aiba,9375129446,ST11,B,5612,P7,R2,1,2657.925448999833,5612,1492.3558686705771,205.98220656647115,3913.6619247629515,1255.7364757631185,V3,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C3,B1,yes,no,Embroidered,9375129,C3,ST11B,5000-5999
2023-03-23,Aiba,1979070624,ST15,B,1120,P25,R2,1,530.1406048508677,1120,89.54542207884492,51.52272889605776,978.9318490250973,448.79124417422963,V4,Cotton,Other,Aiba Other Saree,Handwash Separately,C3,B2,yes,no,Woven,1979070,C3,ST15B,1000-1999
2023-03-02,Aiba,9636126087,ST39,A,2673,P5,R4,1,1301.5645352764054,2673,649.8260623848546,101.15869688075728,1922.015240734388,620.4507054579826,V5,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C5,B2,no,no,Printed,9636126,C5,ST39A,2000-2999
2023-04-10,Ciba,1889616558,ST21,A,4688,P15,R2,1,2335.8728650191656,4688,319.1703958281548,218.44148020859225,4150.388123963253,1814.5152589440872,V6,Cotton/Silk,Plain,Ciba Plain Saree,Dry Clean only,C7,B2,yes,no,Printed,1889616,C7,ST21A,4000-4999
2023-04-09,Biba,4655421111,ST33,B,3735,P22,R2,1,1754.4539002058962,3735,455.2506108093482,163.9874694595326,3115.761919731119,1361.308019525223,V7,Cotton/Silk,Plain,Biba Plain Saree,Dry Clean only,C7,B3,no,no,Printed,4655421,C7,ST33B,3000-3999
2023-01-11,Ciba,6188185986,ST40,B,4839,P12,R4,1,2292.0395522828558,4839,82.55460836008835,237.82226958199558,4518.623122057916,2226.58356977506,V8,Cotton,Organza,Ciba Organza Saree,Handwash Separately,C7,B3,yes,no,Woven,6188185,C7,ST40B,4000-4999
2023-01-01,Ciba,2290452254,ST05,C,4698,P5,R3,1,2191.44402307341,4698,1141.3296988876632,177.83351505561686,3378.83678605672,1187.3927629833101,V9,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C8,B3,yes,no,Printed,2290452,C8,ST05C,4000-4999
2023-03-27,Biba,3608221692,ST23,A,9481,P27,R3,1,4343.496719184312,9481,971.3694548967079,425.48152725516456,8084.149017848127,3740.6522986638156,V10,Cotton,Plain,Biba Plain Saree,Handwash Separately,C5,B4,no,no,Tie-Dyed,3608221,C5,ST23A,9000-9999
2023-01-07,Ciba,3318794055,ST36,C,7135,P31,R4,-1,-3546.2611568158854,-7135,-1731.9072702383933,-270.15463648808037,-5132.938093273527,-1586.6769364576412,V1,Cotton,Georgette,Ciba Georgette Saree,Handwash Separately,C8,B1,yes,no,Woven,3318794,C8,ST36C,7000-7999
2023-04-01,Aiba,4602700299,ST09,B,1950,P38,R3,1,930.8195896819466,1950,465.8826451197583,74.20586774401208,1409.9114871362297,479.09189745428307,V2,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C7,B1,yes,no,Printed,4602700,C7,ST09B,1000-1999
2023-02-18,Biba,1133901799,ST29,B,2130,P12,R2,1,1030.5399090061399,2130,76.64705602941737,102.66764719852914,1950.6852967720536,920.1453877659137,V3,Cotton,Plain,Biba Plain Saree,Handwash Separately,C8,B1,yes,no,Tie-Dyed,1133901,C8,ST29B,2000-2999
2023-03-16,Biba,1622019015,ST37,B,6268,P33,R1,0,0.0,0,0.0,0.0,0.0,0.0,V4,Cotton,Plain,Biba Plain Saree,Handwash Separately,C8,B2,yes,no,Printed,1622019,C8,ST37B,6000-6999
2023-03-04,Biba,4360926764,ST08,C,9318,P30,R3,1,4453.818528815571,9318,2023.1648374558802,364.741758127206,6930.093404416914,2476.2748756013434,V5,Cotton,Plain,Biba Plain Saree,Handwash Separately,C7,B2,yes,no,Printed,4360926,C7,ST08C,9000-9999
2023-01-25,Biba,6218073773,ST21,B,1135,P37,R2,1,533.79231816052,1135,288.31801691696916,42.334099154151545,804.3478839288794,270.5555657683593,V6,Cotton,Plain,Biba Plain Saree,Handwash Separately,C6,B2,yes,no,Tie-Dyed,6218073,C6,ST21B,1000-1999
2023-02-18,Biba,7758165474,ST21,A,5198,P7,R2,1,2590.4383199973104,5198,1311.568461670565,194.32157691647177,3692.1099614129635,1101.671641415653,V7,Cotton/Silk,Other,Biba Other Saree,Dry Clean only,C1,B3,yes,no,Tie-Dyed,7758165,C1,ST21A,5000-5999
2023-03-31,Biba,6117284949,ST35,B,2676,P35,R2,1,1275.439199720056,2676,284.59516633296965,119.57024168335153,2271.834591983679,996.3953922636229,V8,Cotton,Plain,Biba Plain Saree,Handwash Separately,C10,B3,no,no,Tie-Dyed,6117284,C10,ST35B,2000-2999
2023-03-04,Aiba,1103695604,ST40,A,4731,P24,R4,0,0.0,0,0.0,0.0,0.0,0.0,V9,Linen,Chiffon,Aiba Chiffon Saree,Handwash Separately,C10,B3,yes,no,Tie-Dyed,1103695,C10,ST40A,4000-4999
2023-03-03,Aiba,5893759589,ST19,A,7137,P37,R2,0,0.0,0,0.0,0.0,0.0,0.0,V10,Cotton/Silk,Satin,Aiba Satin Saree,Dry Clean only,C5,B4,yes,no,Printed,5893759,C5,ST19A,7000-7999
2023-02-16,Biba,5329893523,ST03,A,8573,P1,R3,1,4107.641378603313,8573,2507.835957724025,303.2582021137988,5761.905840162177,1654.2644615588642,V1,Cotton,Plain,Biba Plain Saree,Handwash Separately,C2,B1,yes,no,Woven,5329893,C2,ST03A,8000-8999
2023-01-20,Aiba,8811481481,ST28,C,9016,P33,R1,1,4203.076405372773,9016,1918.4855095274727,354.8757245236264,6742.638765948901,2539.5623605761284,V2,Cotton/Silk,Plain,Aiba Plain Saree,Dry Clean only,C3,B1,yes,no,Embroidered,8811481,C3,ST28C,9000-9999
2023-04-08,Ciba,9970594276,ST38,A,9168,P2,R2,1,4175.944104986158,9168,2281.6429580903946,344.31785209548025,6542.039189814124,2366.0950848279663,V3,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C10,B1,no,no,Embroidered,9970594,C10,ST38A,9000-9999
2023-01-17,Aiba,1517304733,ST11,A,1067,P34,R2,1,525.2011899125746,1067,197.36477265782432,43.48176136710879,826.1534659750669,300.9522760624923,V4,Cotton,Georgette,Aiba Georgette Saree,Handwash Separately,C2,B2,no,no,Woven,1517304,C2,ST11A,1000-1999
2023-01-12,Ciba,3298808174,ST03,A,5231,P18,R3,1,2432.5453490642617,5231,679.1505423228394,227.59247288385805,4324.256984793303,1891.711635729041,V5,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C5,B2,no,no,Embroidered,3298808,C5,ST03A,5000-5999
2023-02-05,Biba,5658534421,ST02,B,2941,P1,R3,1,1351.304524692049,2941,839.1082731110896,105.09458634444553,1996.7971405444648,645.4926158524158,V6,Modal,Plain,Biba Plain Saree,Handwash Separately,C8,B2,yes,no,Woven,5658534,C8,ST02B,2000-2999
2023-02-05,Biba,8152525657,ST35,A,8617,P39,R2,0,0.0,0,0.0,0.0,0.0,0.0,V7,Cotton,Satin,Biba Satin Saree,Handwash Separately,C6,B3,no,no,Tie-Dyed,8152525,C6,ST35A,8000-8999
2023-02-06,Aiba,7277199138,ST05,B,9384,P33,R3,0,0.0,0,0.0,0.0,0.0,0.0,V8,Cotton,Georgette,Aiba Georgette Saree,Handwash Separately,C10,B3,yes,no,Embroidered,7277199,C10,ST05B,9000-9999
2023-03-28,Biba,7745337795,ST37,A,3415,P39,R1,1,1587.3122852765423,3415,718.830423379962,134.8084788310019,2561.361097789036,974.0488125124939,V9,Cotton,Plain,Biba Plain Saree,Handwash Separately,C10,B3,yes,no,Printed,7745337,C10,ST37A,3000-3999
2023-02-28,Aiba,1830526959,ST28,C,8465,P26,R1,1,4034.3728753533246,8465,2043.4643100661824,321.0767844966909,6100.458905437126,2066.0860300838017,V10,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C10,B4,yes,no,Tie-Dyed,1830526,C10,ST28C,8000-8999
2023-02-28,Ciba,3349026015,ST26,B,4375,P15,R1,1,2149.455924012645,4375,223.8145304654342,207.5592734767283,3943.626196057837,1794.1702720451922,V1,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C10,B1,yes,no,Tie-Dyed,3349026,C10,ST26B,4000-4999
2023-01-03,Ciba,2846236603,ST06,A,4663,P34,R1,1,2157.612620092493,4663,379.8929054801901,214.1553547259905,4068.9517397938193,1911.3391197013261,V2,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C10,B1,no,no,Woven,2846236,C10,ST06A,4000-4999
2023-03-25,Ciba,8184909551,ST32,B,7309,P33,R2,1,3433.246418064502,7309,1328.8815011471934,299.0059249426403,5681.112573910166,2247.8661558456643,V3,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C3,B1,yes,no,Printed,8184909,C3,ST32B,7000-7999
2023-03-19,Aiba,3873293407,ST10,B,3269,P12,R2,1,1516.336960414758,3269,456.8366869919611,140.60816565040196,2671.555147357637,1155.218186942879,V4,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C6,B2,yes,no,Printed,3873293,C6,ST10B,3000-3999
2023-02-21,Biba,5242902259,ST22,C,8678,P12,R3,1,4129.636177401913,8678,990.838895879996,384.35805520600024,7302.803048914004,3173.1668715120904,V5,Cotton,Plain,Biba Plain Saree,Handwash Separately,C8,B2,no,no,Tie-Dyed,5242902,C8,ST22C,8000-8999
2023-01-15,Ciba,7890391718,ST29,A,4216,P10,R2,1,2011.1723936605947,4216,1215.5629059767332,150.02185470116333,2850.4152393221034,839.2428456615087,V6,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C8,B2,yes,no,Tie-Dyed,7890391,C8,ST29A,4000-4999
2023-02-03,Ciba,7004535614,ST28,A,6605,P6,R1,1,2993.9602707708477,6605,287.09805085731097,315.89509745713445,6002.0068516855545,3008.0465809147067,V7,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C4,B3,no,no,Printed,7004535,C4,ST28A,6000-6999
2023-01-03,Aiba,7481763484,ST27,C,1032,P11,R3,1,508.436781894954,1032,72.24460243633871,47.987769878183066,911.7676276854783,403.3308457905243,V8,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C8,B3,no,no,Woven,7481763,C8,ST27C,1000-1999
2023-03-02,Biba,1841613998,ST16,C,5193,P16,R4,1,2595.438063004278,5193,833.2263337238988,217.98868331380504,4141.7849829622955,1546.3469199580177,V9,Cotton,Plain,Biba Plain Saree,Handwash Separately,C9,B3,no,no,Printed,1841613,C9,ST16C,5000-5999
2023-01-27,Biba,4080629781,ST14,C,9761,P33,R4,0,0.0,0,0.0,0.0,0.0,0.0,V10,Cotton,Plain,Biba Plain Saree,Handwash Separately,C4,B4,no,no,Embroidered,4080629,C4,ST14C,9000-9999
2023-01-28,Aiba,8576200949,ST07,A,7679,P24,R3,1,3486.620916151786,7679,293.068006095773,369.2965996952114,7016.635394209015,3530.0144780572296,V1,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C8,B1,no,no,Printed,8576200,C8,ST07A,7000-7999
2023-02-21,Aiba,1248789773,ST16,B,6734,P4,R4,1,3136.3242811398127,6734,1583.5338417222677,257.52330791388664,4892.9428503638455,1756.6185692240329,V2,Modal,Plain,Aiba Plain Saree,Handwash Separately,C6,B1,yes,no,Embroidered,1248789,C6,ST16B,6000-6999
2023-01-27,Aiba,9110030588,ST02,A,6837,P26,R3,1,3076.8584370579965,6837,932.1911915569287,295.24044042215354,5609.568368020918,2532.709930962921,V3,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C1,B1,yes,no,Tie-Dyed,9110030,C1,ST02A,6000-6999
2023-03-24,Biba,6802503137,ST06,C,8502,P14,R1,0,0.0,0,0.0,0.0,0.0,0.0,V4,Cotton,Plain,Biba Plain Saree,Handwash Separately,C2,B2,yes,no,Embroidered,6802503,C2,ST06C,8000-8999
2023-01-06,Biba,2427684432,ST08,C,1619,P14,R3,1,775.8851716572871,1619,1.952531144085938,80.85237344279571,1536.1950954131185,760.3099237558314,V5,Cotton,Plain,Biba Plain Saree,Handwash Separately,C3,B2,yes,no,Woven,2427684,C3,ST08C,1000-1999
2023-03-20,Aiba,1446691718,ST40,B,6965,P11,R4,0,0.0,0,0.0,0.0,0.0,0.0,V6,Cotton/Silk,Plain,Aiba Plain Saree,Dry Clean only,C4,B2,no,no,Tie-Dyed,1446691,C4,ST40B,6000-6999
2023-01-05,Biba,8818747270,ST16,C,8310,P36,R4,1,3991.9673609579468,8310,1783.495548539756,326.32522257301224,6200.179228887232,2208.2118679292853,V7,Cotton,Plain,Biba Plain Saree,Handwash Separately,C9,B3,yes,no,Embroidered,8818747,C9,ST16C,8000-8999
2023-01-22,Biba,2846005690,ST06,B,4520,P20,R1,1,2202.7191790682423,4520,1293.1198459373427,161.3440077031329,3065.5361463595245,862.8169672912823,V8,Cotton,Plain,Biba Plain Saree,Handwash Separately,C4,B3,no,no,Woven,2846005,C4,ST06B,4000-4999
2023-04-05,Biba,5317399469,ST14,B,6586,P8,R4,1,3125.0282352684508,6586,1928.3137574419713,232.88431212790144,4424.801930430127,1299.7736951616762,V9,Cotton,Plain,Biba Plain Saree,Handwash Separately,C1,B3,no,no,Embroidered,5317399,C1,ST14B,6000-6999
2023-03-30,Aiba,9659084957,ST02,C,9942,P18,R3,1,4735.937041124069,9942,1482.9016889983698,422.9549155500815,8036.143395451548,3300.206354327479,V10,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C8,B4,yes,no,Woven,9659084,C8,ST02C,9000-9999
2023-02-23,Biba,7220623491,ST18,B,4791,P34,R2,1,2335.8901694329643,4791,206.52352650672753,229.22382367466363,4355.252649818609,2019.3624803856446,V1,Cotton,Plain,Biba Plain Saree,Handwash Separately,C6,B1,yes,no,Tie-Dyed,7220623,C6,ST18B,4000-4999
2023-01-23,Ciba,2198542254,ST17,A,7101,P25,R1,1,3497.7880986898135,7101,274.78244027836183,341.31087798608195,6484.906681735556,2987.1185830457425,V2,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C8,B1,no,no,Embroidered,2198542,C8,ST17A,7000-7999
2023-01-17,Aiba,1670769705,ST30,B,6018,P6,R4,1,2800.1959725159245,6018,1572.0514387498158,222.2974280625092,4223.6511331876745,1423.45516067175,V3,Modal,Plain,Aiba Plain Saree,Handwash Separately,C5,B1,no,no,Embroidered,1670769,C5,ST30B,6000-6999
2023-01-25,Biba,3980416749,ST02,C,1121,P30,R3,1,528.0422739958158,1121,39.42802928177944,54.078598535911034,1027.4933721823097,499.45109818649394,V4,Cotton,Plain,Biba Plain Saree,Handwash Separately,C2,B2,yes,no,Embroidered,3980416,C2,ST02C,1000-1999
2023-01-21,Aiba,8490713575,ST22,B,6184,P28,R3,1,2999.0501468379166,6184,1837.08638950875,217.34568052456254,4129.567929966688,1130.5177831287715,V5,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C4,B2,no,no,Printed,8490713,C4,ST22B,6000-6999
2023-01-25,Aiba,2421461074,ST27,B,5775,P32,R3,1,2709.067884015721,5775,1475.7857991021185,214.96071004489409,4084.253490852988,1375.1856068372667,V6,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C4,B2,yes,no,Woven,2421461,C4,ST27B,5000-5999
2023-03-21,Biba,4715457703,ST07,C,9368,P36,R3,1,4586.2879929466635,9368,2179.4692280367212,359.4265385981639,6829.104233365115,2242.8162404184513,V7,Cotton,Crepe,Biba Crepe Saree,Handwash Separately,C6,B3,yes,no,Printed,4715457,C6,ST07C,9000-9999
2023-02-20,Aiba,2823527713,ST23,A,1137,P9,R3,1,562.2269932477823,1137,320.00155391587543,40.84992230420623,776.1485237799184,213.9215305321361,V8,Cotton,Satin,Aiba Satin Saree,Handwash Separately,C2,B3,no,no,Tie-Dyed,2823527,C2,ST23A,1000-1999
2023-01-30,Biba,6558990424,ST15,A,1944,P37,R2,1,887.3461616756147,1944,209.83638116401292,86.70818094179936,1647.4554378941878,760.1092762185731,V9,Linen,Plain,Biba Plain Saree,Handwash Separately,C6,B3,no,no,Tie-Dyed,6558990,C6,ST15A,1000-1999
2023-03-09,Ciba,7228214304,ST05,C,1158,P31,R3,1,563.7851753690841,1158,212.6986478557096,47.26506760721452,898.0362845370759,334.2511091679918,V10,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C1,B4,yes,no,Printed,7228214,C1,ST05C,1000-1999
2023-04-08,Aiba,5154628197,ST02,C,8328,P7,R3,1,4091.20459361696,8328,417.02478723676313,395.54876063816187,7515.426452125074,3424.221858508114,V1,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C8,B1,yes,no,Tie-Dyed,5154628,C8,ST02C,8000-8999
2023-01-05,Biba,8284309796,ST26,B,6298,P30,R1,1,3113.726363774453,6298,1131.922643498764,258.3038678250618,4907.773488676175,1794.0471249017214,V2,Cotton,Plain,Biba Plain Saree,Handwash Separately,C9,B1,yes,no,Tie-Dyed,8284309,C9,ST26B,6000-6999
2023-02-24,Ciba,8179301925,ST26,B,2283,P3,R1,1,1089.240165314597,2283,418.87762840391395,93.2061185798043,1770.9162530162816,681.6760877016845,V3,Cotton,Satin,Ciba Satin Saree,Handwash Separately,C4,B1,yes,no,Printed,8179301,C4,ST26B,2000-2999
2023-02-18,Aiba,4100574032,ST05,C,9384,P21,R3,1,4598.070087694006,9384,732.8778294436548,432.5561085278173,8218.566062028529,3620.4959743345225,V4,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C7,B2,yes,no,Embroidered,4100574,C7,ST05C,9000-9999
2023-02-10,Aiba,4221672066,ST20,C,8302,P23,R2,1,4012.4269730499645,8302,1772.3684844372492,326.48157577813754,6203.149939784613,2190.7229667346483,V5,Cotton,Satin,Aiba Satin Saree,Handwash Separately,C10,B2,yes,no,Embroidered,4221672,C10,ST20C,8000-8999
2023-02-08,Aiba,4092492181,ST18,B,8158,P37,R2,1,3898.404437100608,8158,2315.9202433512537,292.1039878324373,5549.975768816309,1651.571331715701,V6,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C7,B2,yes,no,Embroidered,4092492,C7,ST18B,8000-8999
2023-02-12,Ciba,5976139664,ST38,B,4275,P14,R2,1,1984.0377913708978,4275,381.82618705975216,194.6586906470124,3698.5151222932354,1714.4773309223376,V7,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C10,B3,no,no,Woven,5976139,C10,ST38B,4000-4999
2023-02-22,Biba,7918823334,ST02,A,3003,P5,R3,1,1402.8480915963394,3003,29.48924238674248,148.6755378806629,2824.835219732595,1421.9871281362555,V8,Cotton,Plain,Biba Plain Saree,Handwash Separately,C5,B3,no,no,Printed,7918823,C5,ST02A,3000-3999
2023-03-15,Ciba,7291436075,ST04,C,1498,P19,R1,1,745.5793713833795,1498,233.94595294681636,63.20270235265919,1200.8513447005246,455.2719733171451,V9,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C3,B3,yes,no,Printed,7291436,C3,ST04C,1000-1999
2023-01-26,Biba,7767565155,ST35,A,8215,P12,R2,1,3979.7267326017327,8215,510.1834887382564,385.2408255630872,7319.575685698656,3339.8489530969237,V10,Cotton,Plain,Biba Plain Saree,Handwash Separately,C1,B4,yes,no,Tie-Dyed,7767565,C1,ST35A,8000-8999
2023-02-06,Biba,9903731333,ST39,A,7215,P27,R4,1,3566.9004620598052,7215,324.62650880018043,344.51867455999104,6545.854816639829,2978.9543545800234,V1,Cotton,Plain,Biba Plain Saree,Handwash Separately,C10,B1,no,no,Embroidered,9903731,C10,ST39A,7000-7999
2023-03-09,Biba,6561556608,ST15,C,2656,P16,R2,1,1234.3479576353736,2656,559.47240564866,104.826379717567,1991.7012146337727,757.353256998399,V2,Cotton,Plain,Biba Plain Saree,Handwash Separately,C3,B1,no,no,Embroidered,6561556,C3,ST15C,2000-2999
2023-02-18,Biba,4435648609,ST01,C,2305,P8,R4,1,1117.5598235399434,2305,318.9498757218588,99.30250621390707,1886.747618064234,769.1877945242907,V3,Cotton,Plain,Biba Plain Saree,Handwash Separately,C3,B1,yes,no,Printed,4435648,C3,ST01C,2000-2999
2023-01-08,Biba,6394063839,ST08,C,5925,P21,R3,1,2910.5902570393964,5925,1267.3280856999365,232.8835957150032,4424.788318585061,1514.1980615456641,V4,Cotton,Plain,Biba Plain Saree,Handwash Separately,C5,B2,no,no,Woven,6394063,C5,ST08C,5000-5999
2023-03-19,Ciba,4035255240,ST28,B,7721,P24,R1,1,3546.589606429467,7721,2125.889442040034,279.7555278979983,5315.355030061968,1768.765423632501,V5,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C8,B2,no,no,Woven,4035255,C8,ST28B,7000-7999
2023-03-19,Aiba,3436550802,ST22,C,7110,P23,R3,1,3330.6145333501013,7110,684.5095146433993,321.27452426783003,6104.21596108877,2773.601427738669,V6,Cotton,Satin,Aiba Satin Saree,Handwash Separately,C7,B2,no,no,Embroidered,3436550,C7,ST22C,7000-7999
2023-04-06,Ciba,3898562860,ST15,C,1478,P16,R2,1,675.0746328240878,1478,99.56184136078335,68.92190793196083,1309.516250707256,634.4416178831682,V7,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C2,B3,no,no,Woven,3898562,C2,ST15C,1000-1999
2023-01-02,Aiba,1626170423,ST36,C,6403,P36,R4,1,2972.7650023050783,6403,981.5200879391983,271.0739956030401,5150.405916457761,2177.640914152683,V8,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C4,B3,no,no,Embroidered,1626170,C4,ST36C,6000-6999
2023-02-22,Aiba,3786022379,ST19,A,6455,P38,R2,1,3096.5608104351804,6455,381.5157853844287,303.6742107307786,5769.810003884793,2673.249193449613,V9,Cotton,Satin,Aiba Satin Saree,Handwash Separately,C10,B3,yes,no,Tie-Dyed,3786022,C10,ST19A,6000-6999
2023-03-18,Biba,4190210561,ST11,C,7382,P24,R2,1,3473.615648320053,7382,2188.817214430943,259.65913927845287,4933.523646290604,1459.9079979705512,V10,Cotton,Plain,Biba Plain Saree,Handwash Separately,C9,B4,no,no,Printed,4190210,C9,ST11C,7000-7999
2023-02-23,Ciba,1204001169,ST24,C,6154,P34,R4,1,2795.492878791563,6154,1618.8899424668573,226.75550287665715,4308.354554656486,1512.8616758649227,V1,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C8,B1,no,no,Woven,1204001,C8,ST24C,6000-6999
2023-03-15,Biba,7025999099,ST26,C,2067,P29,R1,1,983.4308512912875,2067,20.78569150997897,102.31071542450105,1943.90359306552,960.4727417742325,V2,Cotton,Plain,Biba Plain Saree,Handwash Separately,C3,B1,no,no,Tie-Dyed,7025999,C3,ST26C,2000-2999
2023-01-24,Ciba,6342631753,ST02,A,7846,P12,R3,1,3827.3101731236347,7846,881.9309344231123,348.2034532788444,6615.865612298043,2788.555439174408,V3,Cotton,Plain,Ciba Plain Saree,Handwash Separately,C4,B1,no,no,Woven,6342631,C4,ST02A,7000-7999
2023-01-24,Aiba,2150818603,ST06,C,7957,P18,R1,1,3970.757997422236,7957,1761.6506590022843,309.7674670498858,5885.58187394783,1914.8238765255942,V4,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C7,B2,yes,no,Printed,2150818,C7,ST06C,7000-7999
2023-03-09,Aiba,2229811209,ST18,B,7349,P33,R2,1,3557.0796580051738,7349,809.6024607481617,326.96987696259197,6212.427662289247,2655.348004284073,V5,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C1,B2,no,no,Printed,2229811,C1,ST18B,7000-7999
2023-04-04,Aiba,7615824993,ST30,B,1133,P9,R4,1,523.5982983201469,1133,204.69784403514944,46.41510779824253,881.887048166608,358.2887498464611,V6,Cotton,Plain,Aiba Plain Saree,Handwash Separately,C4,B2,no,no,Tie-Dyed,7615824,C4,ST30B,1000-1999
